OBJECTID,GEOMETRY,GNIS_NAME,AREA_HA,GEOMETRY_Length,GEOMETRY_Area,Subbasin_ID,SubBasin_name,Downstream_ID,Reports_to_Fan,Reservoir_name,Hydrometric_stn,Snow_Pillow,Snow_Course,Diversion,Upstream_Reservoir,Pct_Demand_Met,Gauged
383,Polygon,Shorts Creek,0,11875.96494,5957048.377,3112,Shorts Creek3112,3107,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1
394,Polygon,Shorts Creek,0,21108.12232,13011992.71,3111,Shorts Creek3111,3101,A,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1
31,Polygon,Shorts Creek,0,30343.68188,36243569.32,3110,Shorts Creek3110,3105,<Null>,<Null>,<Null>,<Null>,2F15,<Null>,<Null>,<Null>,1
327,Polygon,Shorts Creek,0,18549.8189,12197219.92,3109,Shorts Creek3109,3105,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1
114,Polygon,Shorts Creek,0,28006.01377,30295203.89,3108,Shorts Creek3108,3110,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1
115,Polygon,Shorts Creek,0,15693.43467,10468501.3,3107,Shorts Creek3107,3110,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1
116,Polygon,Shorts Creek,0,16624.52609,12691754.67,3106,Shorts Creek3106,3105,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1
326,Polygon,Shorts Creek,0,19686.2996,16282794.23,3105,Shorts Creek3105,3102,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1
119,Polygon,Shorts Creek,0,15544.35838,9046189.995,3104,Shorts Creek3104,3102,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1
121,Polygon,Shorts Creek,0,23437.30406,24259364.3,3103,Shorts Creek3103,3111,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1
120,Polygon,Shorts Creek,0,25465.34205,14524893.02,3102,Shorts Creek3102,3111,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1
117,Polygon,Shorts Creek,0,4821.010821,590642.6694,3101,Shorts Creek3101,-1,Y,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1
253,Polygon,Vernon Creek,0,39243.52521,53358184.93,3049,Vernon Creek3049,3014,<Null>,<Null>,08NM020,2F01P,<Null>,<Null>,<Null>,<Null>,1
366,Polygon,Vernon Creek,0,15398.73749,11111163.31,3048,Vernon Creek3048,3017,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1
285,Polygon,Vernon Creek,0,8263.185578,2329838.442,3047,Vernon Creek3047,3001,A,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1
219,Polygon,Vernon Creek,0,54658.56096,38091995.25,3046,Vernon Creek3046,3045,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1
84,Polygon,Vernon Creek,0,17505.55383,1789891.186,3045,Vernon Creek3045,3044,<Null>,Crooked,08NM163,<Null>,<Null>,<Null>,<Null>,<Null>,1
220,Polygon,Vernon Creek,0,40503.4865,23473556.67,3044,Vernon Creek3044,3043,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1
85,Polygon,Vernon Creek,0,12430.31065,3079530.917,3043,Vernon Creek3043,3042,<Null>,Swalwell,08NM022,<Null>,<Null>,<Null>,<Null>,<Null>,1
221,Polygon,Vernon Creek,0,21658.20402,20513926.97,3042,Vernon Creek3042,3041,<Null>,<Null>,08NM236,<Null>,<Null>,<Null>,<Null>,<Null>,1
