GROUP,PARAMETER,DEFINITION,VALUE,UNITS,CAL_MIN,CAL_MAX
GlobalParameter,GlobalParameter,AVG_ANNUAL_RUNOFF,,mm,,
GlobalParameter,GlobalParameter,SNOW_SWI,0.9968563,,0,1
GlobalParameter,GlobalParameter,RAINSNOW_TEMP,3.950777,,0,4
GlobalParameter,GlobalParameter,RAINSNOW_DELTA,3.988903,,0,4
ChannelParameter,ChannelProfile,,DEFAULT_TRAP,,,
ChannelParameter,Bedslope,,0.001,,,
ChannelParameter,SurveyPoints,0,5,,,
ChannelParameter,SurveyPoints,55,0,,,
ChannelParameter,SurveyPoints,65,0,,,
ChannelParameter,SurveyPoints,120,5,,,
ChannelParameter,RoughnessZones,0,0.035,,,
LandUseParameter,CC_DECAY_COEFF,[DEFAULT],4555.923,1/d,800,10000
SoilParameter,SAT_WILT,[DEFAULT],0.5,mm,0,1
SoilParameter,SAT_WILT,SIL-mod-shallow_A,_DEFAULT,mm,,
SoilParameter,SAT_WILT,SIL-mod-shallow_B,_DEFAULT,mm,,
SoilParameter,SAT_WILT,SIL-mod-shallow_C,_DEFAULT,mm,,
SoilParameter,SAT_WILT,SAN-mod-shallow_A,_DEFAULT,mm,,
SoilParameter,SAT_WILT,SAN-mod-shallow_B,_DEFAULT,mm,,
SoilParameter,SAT_WILT,SAN-mod-shallow_C,_DEFAULT,mm,,
SoilParameter,SAT_WILT,SAN-high-shallow_A,_DEFAULT,mm,,
SoilParameter,SAT_WILT,SAN-high-shallow_B,_DEFAULT,mm,,
SoilParameter,SAT_WILT,SAN-high-shallow_C,_DEFAULT,mm,,
SoilParameter,SAT_WILT,SAN-high-medium_A,_DEFAULT,mm,,
SoilParameter,SAT_WILT,SAN-high-medium_B,_DEFAULT,mm,,
SoilParameter,SAT_WILT,SAN-high-medium_C,_DEFAULT,mm,,
SoilParameter,SAT_WILT,SIL-high-shallow_A,_DEFAULT,mm,,
SoilParameter,SAT_WILT,SIL-high-shallow_B,_DEFAULT,mm,,
SoilParameter,SAT_WILT,SIL-high-shallow_C,_DEFAULT,mm,,
SoilParameter,SAT_WILT,SAN-low-medium_A,_DEFAULT,mm,,
SoilParameter,SAT_WILT,SAN-low-medium_B,_DEFAULT,mm,,
SoilParameter,SAT_WILT,SAN-low-medium_C,_DEFAULT,mm,,
SoilParameter,SAT_WILT,SAN-mod-medium_A,_DEFAULT,mm,,
SoilParameter,SAT_WILT,SAN-mod-medium_B,_DEFAULT,mm,,
SoilParameter,SAT_WILT,SAN-mod-medium_C,_DEFAULT,mm,,
SoilParameter,SAT_WILT,SIL-mod-medium_A,_DEFAULT,mm,,
SoilParameter,SAT_WILT,SIL-mod-medium_B,_DEFAULT,mm,,
SoilParameter,SAT_WILT,SIL-mod-medium_C,_DEFAULT,mm,,
SoilParameter,SAT_WILT,CLA-mod-shallow_A,_DEFAULT,mm,,
SoilParameter,SAT_WILT,CLA-mod-shallow_B,_DEFAULT,mm,,
SoilParameter,SAT_WILT,CLA-mod-shallow_C,_DEFAULT,mm,,
SoilParameter,SAT_WILT,SIL-low-shallow_A,_DEFAULT,mm,,
SoilParameter,SAT_WILT,SIL-low-shallow_B,_DEFAULT,mm,,
SoilParameter,SAT_WILT,SIL-low-shallow_C,_DEFAULT,mm,,
SoilParameter,SAT_WILT,SAN-low-shallow_A,_DEFAULT,mm,,
SoilParameter,SAT_WILT,SAN-low-shallow_B,_DEFAULT,mm,,
SoilParameter,SAT_WILT,SAN-low-shallow_C,_DEFAULT,mm,,
SoilParameter,SAT_WILT,URBAN_A,_DEFAULT,mm,,
SoilParameter,SAT_WILT,URBAN_B,_DEFAULT,mm,,
SoilParameter,SAT_WILT,URBAN_C,_DEFAULT,mm,,
SoilParameter,SAT_WILT,SIL-low-medium_A,_DEFAULT,mm,,
SoilParameter,SAT_WILT,SIL-low-medium_B,_DEFAULT,mm,,
SoilParameter,SAT_WILT,SIL-low-medium_C,_DEFAULT,mm,,
SoilParameter,SAT_WILT,SAN-high-deep_A,_DEFAULT,mm,,
SoilParameter,SAT_WILT,SAN-high-deep_B,_DEFAULT,mm,,
SoilParameter,SAT_WILT,SAN-high-deep_C,_DEFAULT,mm,,
SoilParameter,SAT_WILT,SAN-mod-deep_A,_DEFAULT,mm,,
SoilParameter,SAT_WILT,SAN-mod-deep_B,_DEFAULT,mm,,
SoilParameter,SAT_WILT,SAN-mod-deep_C,_DEFAULT,mm,,
SoilParameter,SAT_WILT,SIL-high-medium_A,_DEFAULT,mm,,
SoilParameter,SAT_WILT,SIL-high-medium_B,_DEFAULT,mm,,
SoilParameter,SAT_WILT,SIL-high-medium_C,_DEFAULT,mm,,
SoilParameter,SAT_WILT,CLA-mod-medium_A,_DEFAULT,mm,,
SoilParameter,SAT_WILT,CLA-mod-medium_B,_DEFAULT,mm,,
SoilParameter,SAT_WILT,CLA-mod-medium_C,_DEFAULT,mm,,
SoilParameter,SAT_WILT,CLA-low-medium_A,_DEFAULT,mm,,
SoilParameter,SAT_WILT,CLA-low-medium_B,_DEFAULT,mm,,
SoilParameter,SAT_WILT,CLA-low-medium_C,_DEFAULT,mm,,
SoilParameter,SAT_WILT,CLA-low-shallow_A,_DEFAULT,mm,,
SoilParameter,SAT_WILT,CLA-low-shallow_B,_DEFAULT,mm,,
SoilParameter,SAT_WILT,CLA-low-shallow_C,_DEFAULT,mm,,
SoilParameter,SAT_WILT,CLA-high-medium_A,_DEFAULT,mm,,
SoilParameter,SAT_WILT,CLA-high-medium_B,_DEFAULT,mm,,
SoilParameter,SAT_WILT,CLA-high-medium_C,_DEFAULT,mm,,
SoilParameter,SAT_WILT,SAN-mod-0_A,_DEFAULT,mm,,
SoilParameter,SAT_WILT,SAN-mod-0_B,_DEFAULT,mm,,
SoilParameter,SAT_WILT,SAN-mod-0_C,_DEFAULT,mm,,
SoilParameter,SAT_WILT,SAN-high-0_A,_DEFAULT,mm,,
SoilParameter,SAT_WILT,SAN-high-0_B,_DEFAULT,mm,,
SoilParameter,SAT_WILT,SAN-high-0_C,_DEFAULT,mm,,
SoilParameter,SAT_WILT,MARL_A,_DEFAULT,mm,,
SoilParameter,SAT_WILT,MARL_B,_DEFAULT,mm,,
SoilParameter,SAT_WILT,MARL_C,_DEFAULT,mm,,
SoilParameter,SAT_WILT,GRAVEL_PIT_A,_DEFAULT,mm,,
SoilParameter,SAT_WILT,GRAVEL_PIT_B,_DEFAULT,mm,,
SoilParameter,SAT_WILT,GRAVEL_PIT_C,_DEFAULT,mm,,
SoilParameter,SAT_WILT,DIKE_A,_DEFAULT,mm,,
SoilParameter,SAT_WILT,DIKE_B,_DEFAULT,mm,,
SoilParameter,SAT_WILT,DIKE_C,_DEFAULT,mm,,
SoilParameter,SAT_WILT,CUT_FILL_A,_DEFAULT,mm,,
SoilParameter,SAT_WILT,CUT_FILL_B,_DEFAULT,mm,,
SoilParameter,SAT_WILT,CUT_FILL_C,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,[DEFAULT],9.70283,mm,1,10
SoilParameter,MAX_CAP_RISE_RATE,SIL-mod-shallow_A,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,SIL-mod-shallow_B,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,SIL-mod-shallow_C,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,SAN-mod-shallow_A,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,SAN-mod-shallow_B,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,SAN-mod-shallow_C,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,SAN-high-shallow_A,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,SAN-high-shallow_B,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,SAN-high-shallow_C,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,SAN-high-medium_A,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,SAN-high-medium_B,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,SAN-high-medium_C,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,SIL-high-shallow_A,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,SIL-high-shallow_B,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,SIL-high-shallow_C,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,SAN-low-medium_A,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,SAN-low-medium_B,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,SAN-low-medium_C,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,SAN-mod-medium_A,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,SAN-mod-medium_B,_DEFAULT,mm,,
SoilParameter,MAX_CAP_RISE_RATE,SAN-mod-medium_C,_DEFAULT,mm,,
