GROUP,PARAMETER,DEFINITION,VALUE,UNITS,CAL_MIN,CAL_MAX
GlobalParameter,GlobalParameter,AVG_ANNUAL_RUNOFF,184,mm,,
GlobalParameter,GlobalParameter,SNOW_SWI,0.05,,,
GlobalParameter,GlobalParameter,RAINSNOW_TEMP,0.15,,,
GlobalParameter,GlobalParameter,MIN_SNOW_ALBEDO,0.3,,0.1,0.4
GlobalParameter,GlobalParameter,MAX_SNOW_ALBEDO,0.95,,0.7,0.99
GlobalParameter,GlobalParameter,UBC_ALBASE,1,,0.8,1
GlobalParameter,GlobalParameter,UBC_ALBREC,1,,0.8,1
GlobalParameter,GlobalParameter,UBC_MAX_CUM_MELT,1,,0.8,1
GlobalParameter,GlobalParameter,UBC_ALBSNW,1,,0.8,1
GlobalParameter,GlobalParameter,UBC_GW_SPLIT,0.5,,0,0.75
ChannelParameter,ChannelProfile,,DEFAULT_TRAP,,,
ChannelParameter,Bedslope,,0.001,,,
ChannelParameter,SurveyPoints,0,5,,,
ChannelParameter,SurveyPoints,55,0,,,
ChannelParameter,SurveyPoints,65,0,,,
ChannelParameter,SurveyPoints,120,5,,,
ChannelParameter,RoughnessZones,0,0.035,,,
LandUseParameter,CC_DECAY_COEFF,[DEFAULT],10000,1/d,800,1000
SoilParameter,UBC_EVAP_SOIL_DEF,[DEFAULT],100,mm,80,100
SoilParameter,UBC_INFIL_SOIL_DEF,[DEFAULT],100,mm,80,100
SoilParameter,MAX_PERC_RATE,[DEFAULT],6.95304,mm_per_d,15,75
SoilParameter,PERC_COEFF,[DEFAULT],0,1/d,0,1
SoilParameter,BASEFLOW_COEFF,[DEFAULT],0,1/d,0,1
SoilParameter,UBC_EVAP_SOIL_DEF,SOIL1,100,mm,,
SoilParameter,UBC_INFIL_SOIL_DEF,SOIL1,100,mm,,
SoilParameter,MAX_PERC_RATE,SOIL1,[DEFAULT],mm_per_d,,
SoilParameter,PERC_COEFF,SOIL1,[DEFAULT],1/d,,
SoilParameter,BASEFLOW_COEFF,SOIL1,[DEFAULT],1/d,,
