OBJECTID *,GEOMETRY *,NAMED_WATERSHED_ID,GNIS_ID,GNIS_NAME,BLUE_LINE_KEY,WATERSHED_KEY,FWA_WATERSHED_CODE,STREAM_ORDER,STREAM_MAGNITUDE,AREA_HA,FEATURE_CODE,GEOMETRY_Length,GEOMETRY_Area,Subbasin_ID,SubBasin_name,Downstream_ID
1,Polygon,6346,26882,Whiteman Creek,356544032,356544032,300-432687-948928-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,5,237,20254.67888,WA2510000,39896.49923,55234868.24,101,Whiteman Creek1,107
2,Polygon,6346,26882,Whiteman Creek,356544032,356544032,300-432687-948928-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,5,237,20254.67888,WA2510000,18980.74928,10484625.63,102,Whiteman Creek2,105
3,Polygon,6346,26882,Whiteman Creek,356544032,356544032,300-432687-948928-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,5,237,20254.67888,WA2510000,13749.40168,9718788.87,103,Whiteman Creek3,105
4,Polygon,6346,26882,Whiteman Creek,356544032,356544032,300-432687-948928-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,5,237,20254.67888,WA2510000,12683.16317,7446316.364,104,Whiteman Creek4,103
5,Polygon,6346,26882,Whiteman Creek,356544032,356544032,300-432687-948928-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,5,237,20254.67888,WA2510000,36007.07667,44487128.97,105,Whiteman Creek5,108
6,Polygon,6346,26882,Whiteman Creek,356544032,356544032,300-432687-948928-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,5,237,20254.67888,WA2510000,21697.29256,11044633.49,106,Whiteman Creek6,108
7,Polygon,6346,26882,Whiteman Creek,356544032,356544032,300-432687-948928-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,5,237,20254.67888,WA2510000,6054.838467,1258649.361,107,Whiteman Creek7,108
8,Polygon,6346,26882,Whiteman Creek,356544032,356544032,300-432687-948928-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,5,237,20254.67888,WA2510000,23249.59892,11322087.21,108,Whiteman Creek8,-1
9,Polygon,6346,26882,Whiteman Creek,356544032,356544032,300-432687-948928-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,5,237,20254.67888,WA2510000,24356.67932,18426927.72,109,Whiteman Creek9,107
10,Polygon,6346,26882,Whiteman Creek,356544032,356544032,300-432687-948928-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,5,237,20254.67888,WA2510000,22076.24779,17548566.79,110,Whiteman Creek10,101
11,Polygon,6346,26882,Whiteman Creek,356544032,356544032,300-432687-948928-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,5,237,20254.67888,WA2510000,17768.7629,9811263.61,111,Whiteman Creek11,101
12,Polygon,6346,26882,Whiteman Creek,356544032,356544032,300-432687-948928-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,5,237,20254.67888,WA2510000,13463.25427,3834779.779,112,Whiteman Creek12,110
13,Polygon,6346,26882,Whiteman Creek,356544032,356544032,300-432687-948928-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,5,237,20254.67888,WA2510000,7227.720749,1928152.846,113,Whiteman Creek13,112
14,Polygon,0,0,Coldstream Creek,0,1, ,0,0,0, ,88609.33817,206046948.4,114,Coldstream Creek14,-1
15,Polygon,0,0,Equesis Creek,0,2, ,0,0,0, ,99836.97414,203457022.9,115,Equesis Creek15,-1
16,Polygon,0,0,Inkaneep Creek,0,3, ,0,0,0, ,88344.23198,179183937.9,116,Inkaneep Creek16,-1
17,Polygon,0,0,McDougall Creek,0,4, ,0,0,0, ,46151.92135,53468547.69,117,McDougall Creek17,-1
18,Polygon,0,0,McLean Creek,0,5, ,0,0,0, ,40675.35024,63217305.69,118,McLean Creek18,-1
19,Polygon,0,0,Mill Creek,0,6, ,0,0,0, ,97865.39758,223688025.4,119,Mill Creek19,-1
20,Polygon,0,0,Mission Creek,0,7, ,0,0,0, ,80842.09326,247864546.1,120,Mission Creek20,134
21,Polygon,0,0,Naramata Creek,0,8, ,0,0,0, ,34707.27929,41805021.55,121,Naramata Creek21,-1
22,Polygon,0,0,Naswhito Creek,0,9, ,0,0,0, ,66689.12343,86544595.94,122,Naswhito Creek22,-1
23,Polygon,0,0,Penticton Creek,0,10, ,0,0,0, ,75658.52101,180037877.1,123,Penticton Creek23,-1
24,Polygon,0,0,Powers Creek,0,11, ,0,0,0, ,83956.94447,145310548.2,124,Powers Creek24,-1
25,Polygon,0,0,Shingle Creek,0,12, ,0,0,0, ,98087.95845,298598010.1,125,Shingle Creek25,-1
26,Polygon,0,0,Shuttleworth Creek,0,13, ,0,0,0, ,76242.4451,89959778.28,126,Shuttleworth Creek26,-1
27,Polygon,0,0,Trepanier Creek,0,14, ,0,0,0, ,100121.6273,260042596.1,127,Trepanier Creek27,-1
28,Polygon,0,0,Trout Creek,0,15, ,0,0,0, ,206827.9159,746448038.2,128,Trout Creek28,-1
29,Polygon,0,0,Vaseux Creek,0,16, ,0,0,0, ,108676.9317,294312233.4,129,Vaseux Creek29,-1
30,Polygon,0,0,Vernon Creek,0,17, ,0,0,0, ,172240.7058,546407533.9,130,Vernon Creek30,-1
31,Polygon,0,0,Shorts Creek,0,0, ,0,0,0, ,92813.3492,185569174.4,131,Shorts Creek31,-1
33,Polygon,0,0,Mission Creek,0,7, ,0,0,0, ,27901.16163,28813251.79,133,Mission Creek33,-1
34,Polygon,0,0,Mission Creek,0,7, ,0,0,0, ,57348.93134,110801648.6,134,Mission Creek34,133
35,Polygon,0,0,Mission Creek,0,7, ,0,0,0, ,91081.63172,214807659.5,135,Mission Creek35,120
36,Polygon,0,0,Mission Creek,0,7, ,0,0,0, ,89209.50918,242813092.3,136,Mission Creek36,135
